SMD,Candidate Name,Website
6A01,Scott Burger,
4E04,Hal Gordon,
5C02,ian walton,
4D04,Eliza Cava,
6C01,Jeremiah Foxwell,
4B01,Doug Payton,
2B01,Colton Flower,
1D01,James Benson,
8A01,Renée Moore,
3C01,Samuel Littauer,
6C05,Daniela Kelley McInerney,
6B09,Karen Hughes,
7D09,Ashley Schapitl,
2B07,Libby Franklin,
3/4G03,James Nash,
5D01,Hector Arbuckle,
3A04,Claire Patricia McCafferty,
3A02,Gracemary Allen,
8D01,Dionne Yvette Brown,
1E07,Brian Footer,
4B03,Keenan Courtland,
4E03,Maria F Barry,
4D05,Stephen Marencic,
7C08,Brandon Scott,
3A03,Maria Perisic,
2F04,Kyle Oliver,
1B02,Frank Chauvin,
1B07,Matthew Holden,
3E04,Tom Quinn,
4E05,Camsie McAdams,
7E04,Natasha Dupee,https://secure.actblue.com/donate/dupeefordc
8D06,Patrice Lancaster,
7C08,Stanley Monickam,
7B05,Elizabeth Reddick,
6C07,Tony T Goodman,
3/4G01,Lisa R. Gore,
5F04,Mark Galvan,
5F01,Nicole G. Jones,
5C07,VJ Kapur,
6E08,Dale Prince,
6C06,Andrew R. Hayes,
7F02,Ashley Renee Ruff,
8F02,Markita Bryant,
1C04,Marie-Elise Diamond,
1D03,Erika Nunez,
3/4G06,Peter Gosselin,
8B06,Marcus Hickman,
1A10,Vida Rangel,
8E01,Robin Scott,
5D06,Kathy Henderson,
4C06,Christen Boas Hayes,
1E02,Audra Grant,
1B03,J. Swiderski,
3F05,Nathaniel Bowman,
7C03,Carlos Richardson,https://gofund.me/9f8ceb49
1B08,Sabel Harris,
8A06,Scott Thach,
5B05,Mónica Martínez López,
4C06,Maggie  Dart-Padover,
4D08,Jenn Kauffman,https://www.jennkauffman.com
2A03,Trupti J Patel,https://secure.actblue.com/donate/truptipatel4anc
1E04,Rashida Brown,
1E03,Philippa Hawker,
2B05,Alex Marshall,
1E05,Philip Newland,
1C05,Scott Olesen,
5B03,Jingwen Sun,https://secure.actblue.com/donate/elect-jingwen-sun-1/
1B06,Miguel Trindade Deramo,https://secure.actblue.com/donate/miguel-for-anc
4D04,Chrysanthe Courniotes,
1C06,Lynda Laughlin,
3C07,Gawain Kripke,
1D01,Jay Falk,
3/4G05,Karrenthya Simmons,
6A04,Amber Gove,
3C02,Adam J. Prinzo,
3B01,Kevin Lavezzo,
2B01,Anthony Musa,
4B03,Joel Gwadz,
1D06,Angela Allison,
1E06,Josh Jacobson,
8F03,Brian Strege,
3D01,Andrew Heimert,
8F02,Antonio Rossi,https://donorbox.org/antonio-rossi-for-anc-6-8f02
4D07,Emma Treat,
3C06,"Girish ""Jay"" Bose",
2E02,Nancy Groth,
1C09,Katherine Swanson,https://secure.actblue.com/donate/katherine-for-anc?refcode=GGW
2E07,Daniel Chao,
4E05,Ulysses E. Campbell,
5B07,Zahid Rathore,
8B04,Kimberly Little,
2E02,Topher Mathews,
1D05,Omar Parbhoo,
1B02,Francois Barrilleaux,
5B06,"Sukhprita ""Prita"" Piekara",
1A04,Jeremy Sherman,https://sherman4anc.com/donate
1A05,Ebony Payne,
7B10,Dev Myers,https://secure.actblue.com/donate/dev-myers-1
8A04,Laneice Moore,
8C06,Robbie Woodland,
1C04,Joe Van Wye,
7C03,Travis R. Swanson,
1B07,Ashleigh Fields,
7D06,LaDan W. Johnson,
4B10,Jinin Berry,
5F02,Aru Sahni,
8F01,Nicholas (Nic) Wilson,
5D09,CRYSTAL  G-CAMPBELL,
1A05,Christine Miller,
5E04,Huma Imtiaz,
8F08,Elissa De Souza,
5B01,Edward Borrego,
5F06,Joe Bishop-Henchman,https://www.joeanc.com/
5D06,Charquinta (Char) McCray,
4C05,Brittany Kademian,
8D06,Rev. Wendy Hamilton,
1B03,S. Gideon Sandford,
6A06,Ivory Gaskins,
2B09,Christopher Davis,
2A08,Jim Malec,https://secure.actblue.com/donate/jim-malec
4C03,Mike Warburton,
3E02,Amy Hall,
7C04,Keith Raphael Hasan-Towery,
2B02,Jeff Rueckgauer,
1D01,Nora Ivory,
1B04,Aaron Lemon-Strauss,
8B01,Takema Keyes,
3A03,Isaac Bowers,
1A10,BILLY J EASLEY,https://www.easleyforanc.com/donate-now
4D06,Stoyan D Dimitrov,
7D01,Brian Glover,
5E03,Mike Bloomberg,
5B02,Nandini Sen,
3C03,Janell Pagats,
6B07,Vince Mareino,
4B06,Tiffani Nichole Johnson,
1A07,Mukta Ghorpadey,
5E05,Tyler Lopez,
7D06,Patricia Stamper,
2G04,Steven McCarty,
2B06,Matt Johnson,
3C04,Erin Beard,
8B02,Betty,
2A05,Luke Z. Chadwick,
6E06,Nate Coffman,
5E01,Kyle Gardiner,https://donorbox.org/kyle-gardiner-for-anc-5e01
3A01,Thaddeus Bradley-Lewis,
3D01,Chuck Elkins,
1C03,Peter Wood,
2G01,Parker Griffin,
2G01,Howard W Garrett,
5D01,Reginald Shaw-Richardson,
6E05,Ahmad Abu-Khalaf,
2B08,Zach Adams,
8C08,Elizabeth Carter,
6A01,Paul Spires,
